Lag,q,Moment,Observations,Table,Population
1,1.0,0.44162098723274706,7093477,equity_parkinson_variance,global
1,1.5,0.3695858011497732,7093477,equity_parkinson_variance,global
1,2.0,0.3470712895771002,7093477,equity_parkinson_variance,global
1,3.0,0.42439947575914044,7093477,equity_parkinson_variance,global
1,4.0,0.7913269865243325,7093477,equity_parkinson_variance,global
2,1.0,0.4684814293684705,5279281,equity_parkinson_variance,global
2,1.5,0.40340170620677074,5279281,equity_parkinson_variance,global
2,2.0,0.3888712115048539,5279281,equity_parkinson_variance,global
2,3.0,0.4935888140507096,5279281,equity_parkinson_variance,global
2,4.0,0.9297906250526901,5279281,equity_parkinson_variance,global
3,1.0,0.4699901180450856,5078988,equity_parkinson_variance,global
3,1.5,0.4054295189656957,5078988,equity_parkinson_variance,global
3,2.0,0.3916439845624637,5078988,equity_parkinson_variance,global
3,3.0,0.4994205196865246,5078988,equity_parkinson_variance,global
3,4.0,0.9442946145156358,5078988,equity_parkinson_variance,global
4,1.0,0.4747381467441876,5077080,equity_parkinson_variance,global
4,1.5,0.4112739309347536,5077080,equity_parkinson_variance,global
4,2.0,0.3987456707739773,5077080,equity_parkinson_variance,global
4,3.0,0.5113904497518712,5077080,equity_parkinson_variance,global
4,4.0,0.9736501963680452,5077080,equity_parkinson_variance,global
5,1.0,0.481970101661536,5275115,equity_parkinson_variance,global
5,1.5,0.4202168750812411,5275115,equity_parkinson_variance,global
5,2.0,0.40938707666780666,5275115,equity_parkinson_variance,global
5,3.0,0.5258688418294021,5275115,equity_parkinson_variance,global
5,4.0,0.9883953269422309,5275115,equity_parkinson_variance,global
6,1.0,0.4895061156642943,7075289,equity_parkinson_variance,global
6,1.5,0.4301678855671496,7075289,equity_parkinson_variance,global
6,2.0,0.4222582609503712,7075289,equity_parkinson_variance,global
6,3.0,0.5489879128461279,7075289,equity_parkinson_variance,global
6,4.0,1.038373782942477,7075289,equity_parkinson_variance,global
7,1.0,0.4942149758907614,8741123,equity_parkinson_variance,global
7,1.5,0.4361129647005308,8741123,equity_parkinson_variance,global
7,2.0,0.42969694457209506,8741123,equity_parkinson_variance,global
7,3.0,0.5619164836491657,8741123,equity_parkinson_variance,global
7,4.0,1.0651512743925797,8741123,equity_parkinson_variance,global
8,1.0,0.49962588994994933,7077094,equity_parkinson_variance,global
8,1.5,0.4430089287823102,7077094,equity_parkinson_variance,global
8,2.0,0.43827117677523947,7077094,equity_parkinson_variance,global
8,3.0,0.575794727799326,7077094,equity_parkinson_variance,global
8,4.0,1.0914607507092038,7077094,equity_parkinson_variance,global
9,1.0,0.5038384748388173,5269752,equity_parkinson_variance,global
9,1.5,0.4484234054971861,5269752,equity_parkinson_variance,global
9,2.0,0.44510857057950526,5269752,equity_parkinson_variance,global
9,3.0,0.5878258881205496,5269752,equity_parkinson_variance,global
9,4.0,1.1172575800673328,5269752,equity_parkinson_variance,global
10,1.0,0.503859638144935,5071329,equity_parkinson_variance,global
10,1.5,0.4486007297413283,5071329,equity_parkinson_variance,global
10,2.0,0.4456997958314269,5071329,equity_parkinson_variance,global
10,3.0,0.5912191072587033,5071329,equity_parkinson_variance,global
10,4.0,1.1336702761141897,5071329,equity_parkinson_variance,global
11,1.0,0.5054794789148461,5075939,equity_parkinson_variance,global
11,1.5,0.45071697262959787,5075939,equity_parkinson_variance,global
11,2.0,0.4482942148735571,5075939,equity_parkinson_variance,global
11,3.0,0.5948420450165518,5075939,equity_parkinson_variance,global
11,4.0,1.1380408633718027,5075939,equity_parkinson_variance,global
12,1.0,0.5074132624984224,5269850,equity_parkinson_variance,global
12,1.5,0.4530743588708025,5269850,equity_parkinson_variance,global
12,2.0,0.45106263279277764,5269850,equity_parkinson_variance,global
