q,Zeta,Intercept,MomentR2,Table,Population
1.0,0.05079537678405961,-0.8136604117944403,0.9888287603101625,equity_parkinson_variance,global
1.5,0.07310406731854735,-0.9848840369802261,0.9892761213142872,equity_parkinson_variance,global
2.0,0.09236797054162459,-1.038183617667135,0.989526055695653,equity_parkinson_variance,global
3.0,0.11859532607429615,-0.8185299336256744,0.9891782631035124,equity_parkinson_variance,global
4.0,0.12672864627261063,-0.18914171852610642,0.9876352850926448,equity_parkinson_variance,global
1.0,0.058125175512833444,-0.9827069850581305,0.9475633811238295,equity_parkinson_variance,NVDA
1.5,0.08570443561198417,-1.2755022356974453,0.9516202104607677,equity_parkinson_variance,NVDA
2.0,0.11205198632071149,-1.4842076171733536,0.9519737898835794,equity_parkinson_variance,NVDA
3.0,0.1602920204351892,-1.7071129415633615,0.9431021688348238,equity_parkinson_variance,NVDA
4.0,0.20171797569839223,-1.7240179440301198,0.9201980228134725,equity_parkinson_variance,NVDA
1.0,0.056259555650145926,-0.9198161304052419,0.949784744285567,equity_parkinson_variance,AAPL
1.5,0.08390075888453842,-1.1839748614918342,0.9505942066813639,equity_parkinson_variance,AAPL
2.0,0.11105277563625664,-1.3658832065489779,0.9482359739014381,equity_parkinson_variance,AAPL
3.0,0.16327474893678817,-1.5400266934981066,0.9366669082496771,equity_parkinson_variance,AAPL
4.0,0.21184145705681848,-1.5113825335737918,0.9139574968620204,equity_parkinson_variance,AAPL
1.0,0.07062970183115584,-1.0138494942278398,0.9590478865906713,equity_parkinson_variance,AMZN
1.5,0.10601181979898415,-1.3243050663783618,0.9616598835858464,equity_parkinson_variance,AMZN
2.0,0.14098242173250441,-1.5515062938887716,0.9622792184585063,equity_parkinson_variance,AMZN
3.0,0.20829300924685895,-1.8127054586152407,0.9589874097524808,equity_parkinson_variance,AMZN
4.0,0.27021519460282123,-1.867879624772734,0.9491385989413793,equity_parkinson_variance,AMZN
1.0,0.08624522207693675,-1.0377152429014092,0.9481601251424676,equity_parkinson_variance,BAC
1.5,0.1328912142696461,-1.3735318094299513,0.9492877913346003,equity_parkinson_variance,BAC
2.0,0.18136984843794485,-1.6342953022528772,0.9491586924293972,equity_parkinson_variance,BAC
3.0,0.2820443149273296,-1.9842526642633302,0.9473956655169424,equity_parkinson_variance,BAC
4.0,0.3847297786843598,-2.1509610266159376,0.9439835272124725,equity_parkinson_variance,BAC
1.0,0.06160845869709952,-1.034600099466164,0.9630568090046172,equity_parkinson_variance,INTC
1.5,0.09160302777592805,-1.3554034882096788,0.9673470187438828,equity_parkinson_variance,INTC
2.0,0.12087931090776717,-1.5931648682576531,0.9680371605891277,equity_parkinson_variance,INTC
3.0,0.17679922230749984,-1.8768983763615128,0.9595821429990219,equity_parkinson_variance,INTC
4.0,0.22850445455543852,-1.9560737887868993,0.9347454963326739,equity_parkinson_variance,INTC
1.0,0.06596402118887595,-1.022703882711233,0.9485080538378899,equity_parkinson_variance,MSFT
1.5,0.09857139350575408,-1.3366535142120073,0.9500088830873737,equity_parkinson_variance,MSFT
2.0,0.13076858173154232,-1.567803789258587,0.9476426762146031,equity_parkinson_variance,MSFT
3.0,0.19327138182862613,-1.8405360235424069,0.9330433452653815,equity_parkinson_variance,MSFT
4.0,0.25199571339485094,-1.913273293085334,0.9033966406202767,equity_parkinson_variance,MSFT
1.0,0.06611936908251072,-0.9588974462503719,0.965381007577426,equity_parkinson_variance,F
1.5,0.10016944886570202,-1.2448583503319004,0.9679962694363854,equity_parkinson_variance,F
2.0,0.13521200825518756,-1.4518124002302815,0.9686700184872605,equity_parkinson_variance,F
3.0,0.2089400086063845,-1.6893181616854924,0.965168300920218,equity_parkinson_variance,F
4.0,0.2880717099116716,-1.7445402595138493,0.953140192029819,equity_parkinson_variance,F
1.0,0.0593395274722808,-1.019539910173642,0.9680557694328749,equity_parkinson_variance,CSCO
1.5,0.08843126841208124,-1.3260060872389166,0.9686007995170698,equity_parkinson_variance,CSCO
