Lag,q,Moment,Observations,Table,Population,LagType,TrainEnd,MaxLag
1,1.0,0.47179473232275737,5445730,equity_parkinson_variance,global,observation,2016-01-01,400
1,1.5,0.4150337414315694,5445730,equity_parkinson_variance,global,observation,2016-01-01,400
1,2.0,0.4152631748865089,5445730,equity_parkinson_variance,global,observation,2016-01-01,400
1,3.0,0.5965611085380103,5445730,equity_parkinson_variance,global,observation,2016-01-01,400
1,4.0,1.3133740916090493,5445730,equity_parkinson_variance,global,observation,2016-01-01,400
2,1.0,0.5003542373790746,5444205,equity_parkinson_variance,global,observation,2016-01-01,400
2,1.5,0.45167538746425434,5444205,equity_parkinson_variance,global,observation,2016-01-01,400
2,2.0,0.4617019299334353,5444205,equity_parkinson_variance,global,observation,2016-01-01,400
2,3.0,0.6784805902171678,5444205,equity_parkinson_variance,global,observation,2016-01-01,400
2,4.0,1.489497402065968,5444205,equity_parkinson_variance,global,observation,2016-01-01,400
3,1.0,0.5135718343260596,5442680,equity_parkinson_variance,global,observation,2016-01-01,400
3,1.5,0.46879479230536125,5442680,equity_parkinson_variance,global,observation,2016-01-01,400
3,2.0,0.48372523265052575,5442680,equity_parkinson_variance,global,observation,2016-01-01,400
3,3.0,0.7189080512192535,5442680,equity_parkinson_variance,global,observation,2016-01-01,400
3,4.0,1.5806232979401036,5442680,equity_parkinson_variance,global,observation,2016-01-01,400
4,1.0,0.5202791338488201,5441155,equity_parkinson_variance,global,observation,2016-01-01,400
4,1.5,0.47783567970764435,5441155,equity_parkinson_variance,global,observation,2016-01-01,400
4,2.0,0.4957563634812148,5441155,equity_parkinson_variance,global,observation,2016-01-01,400
4,3.0,0.742618683702593,5441155,equity_parkinson_variance,global,observation,2016-01-01,400
4,4.0,1.6409831172614737,5441155,equity_parkinson_variance,global,observation,2016-01-01,400
5,1.0,0.5253657138880728,5439630,equity_parkinson_variance,global,observation,2016-01-01,400
5,1.5,0.4844884325575729,5439630,equity_parkinson_variance,global,observation,2016-01-01,400
