q,Zeta,Intercept,MomentR2,Table,Population,LagType,TrainEnd,MaxLag
1.0,0.05573227676214762,-0.7595379331378269,0.9783621953430541,equity_parkinson_variance,global,observation,2016-01-01,400
1.5,0.07899099330041412,-0.8900771001589215,0.9749580978630734,equity_parkinson_variance,global,observation,2016-01-01,400
2.0,0.09754470663616818,-0.889701836098349,0.97139256570089,equity_parkinson_variance,global,observation,2016-01-01,400
3.0,0.11684198723408494,-0.522790316060693,0.9647786260105605,equity_parkinson_variance,global,observation,2016-01-01,400
4.0,0.11343090402448183,0.2815646663652577,0.9636416351829248,equity_parkinson_variance,global,observation,2016-01-01,400
1.0,0.05499022415398901,-0.7498563252154977,0.9775707333226981,equity_garman_klass_variance,global,observation,2016-01-01,400
1.5,0.07619111942690707,-0.8536715473769906,0.9749310602108775,equity_garman_klass_variance,global,observation,2016-01-01,400
2.0,0.09152463715845931,-0.8102876812935049,0.9723687066498593,equity_garman_klass_variance,global,observation,2016-01-01,400
3.0,0.10320548805911264,-0.3217835869499016,0.9694038159431145,equity_garman_klass_variance,global,observation,2016-01-01,400
4.0,0.09624751017731283,0.6074612413373125,0.9733791442312031,equity_garman_klass_variance,global,observation,2016-01-01,400
